customer_id,churn_probability_rf,churn_prediction_rf,actual_churn
CUST00001,0.0318019697371486,0,0
CUST00002,0.0588458575440909,0,0
CUST00003,0.0201809887981788,0,0
CUST00004,0.9299969176900088,1,1
CUST00005,0.0064194562604031,0,0
CUST00006,0.018264778150678,0,0
CUST00007,0.0070062260629575,0,0
CUST00008,0.0305905867048665,0,0
CUST00009,0.0159176062370009,0,0
CUST00010,0.0489592862742211,0,0
CUST00011,0.0023717916448197,0,0
CUST00012,0.0702127824581463,0,0
CUST00013,0.0240420930743119,0,0
CUST00014,0.01,0,0
CUST00015,0.0002953564955454,0,0
CUST00016,0.0002953564955454,0,0
CUST00017,0.0,0,0
CUST00018,0.01,0,0
CUST00019,0.0079398811866672,0,0
CUST00020,0.0198458201751227,0,0
CUST00021,0.0,0,0
CUST00022,0.0300518922835607,0,0
CUST00023,0.0238027348703085,0,0
CUST00024,0.0469535769710915,0,0
CUST00025,0.0421818177954742,0,0
CUST00026,0.0827721803686265,0,0
CUST00027,0.0038597098341579,0,0
CUST00028,0.0092017593908802,0,0
CUST00029,0.0023071155671476,0,0
CUST00030,0.0257636747619085,0,0
CUST00031,0.0097479384833399,0,0
CUST00032,0.0287817856859646,0,0
CUST00033,0.0002953564955454,0,0
CUST00034,0.0472823253603475,0,0
CUST00035,0.0182773721447735,0,0
CUST00036,0.0218219790706299,0,0
CUST00037,0.977631611249301,1,1
CUST00038,0.0267178594141905,0,0
CUST00039,0.0033161364287761,0,0
CUST00040,0.0029823609114959,0,0
CUST00041,0.002602472062693,0,0
CUST00042,0.944470539613516,1,1
CUST00043,0.0243069357982339,0,0
CUST00044,0.981826176250219,1,1
CUST00045,0.0033161364287761,0,0
CUST00046,0.0174699717990897,0,0
CUST00047,0.0159677990546953,0,0
CUST00048,0.0090488618333752,0,0
CUST00049,0.0020927776544703,0,0
CUST00050,0.0153838355052549,0,0
CUST00051,0.0471799580135581,0,0
CUST00052,0.9778566409435444,1,1
CUST00053,0.0231103277751242,0,0
CUST00054,0.0274317687187673,0,0
CUST00055,0.0105833968332847,0,0
CUST00056,0.9327772595151104,1,1
CUST00057,0.0148217597720771,0,0
CUST00058,0.0294991400757005,0,0
CUST00059,0.943439921976818,1,1
CUST00060,0.0188735701408195,0,0
CUST00061,0.0067178594141905,0,0
CUST00062,0.0714028107975226,0,0
CUST00063,0.0628004612389307,0,0
CUST00064,0.0120927776544703,0,0
CUST00065,0.0170030311930302,0,0
CUST00066,0.0231021643029621,0,0
CUST00067,0.0055317188324133,0,0
CUST00068,0.0002953564955454,0,0
CUST00069,0.0002953564955454,0,0
CUST00070,0.0062508800629571,0,0
CUST00071,0.077821637113922,0,0
CUST00072,0.0020765439538509,0,0
CUST00073,0.0138882058017879,0,0
CUST00074,0.0432631025993222,0,0
CUST00075,0.0123812905665745,0,0
CUST00076,0.0086818792842693,0,0
CUST00077,0.0134636176561765,0,0
CUST00078,0.01837514011669,0,0
CUST00079,0.0023071155671476,0,0
CUST00080,0.0095146743431981,0,0
CUST00081,0.0141938894749531,0,0
CUST00082,0.0533370797814966,0,0
CUST00083,0.018064537953853,0,0
CUST00084,0.0309387562415965,0,0
CUST00085,0.0029705010042159,0,0
CUST00086,0.0135997675057236,0,0
CUST00087,0.0183399020030757,0,0
CUST00088,0.0151080414227361,0,0
CUST00089,0.0114308466254593,0,0
CUST00090,0.0014659746871746,0,0
CUST00091,0.0215167198057411,0,0
CUST00092,0.0129901233054614,0,0
CUST00093,0.0183399020030757,0,0
CUST00094,0.0002953564955454,0,0
CUST00095,0.0161514034307813,0,0
CUST00096,0.942110174613051,1,1
CUST00097,0.0165395751185905,0,0
CUST00098,0.002602472062693,0,0
CUST00099,0.0265999434464624,0,0
CUST00100,0.0023717916448197,0,0
CUST00101,0.002602472062693,0,0
CUST00102,0.9103567755432306,1,1
CUST00103,0.0167910086210856,0,0
CUST00104,0.9929195153690764,1,1
CUST00105,0.0121499307768035,0,0
CUST00106,0.0318731951748589,0,0
CUST00107,0.9428952787655628,1,1
CUST00108,0.002602472062693,0,0
CUST00109,0.009780149357974,0,0
CUST00110,0.01,0,0
CUST00111,0.0018040277695055,0,0
CUST00112,0.0393468866243676,0,0
CUST00113,0.0327344879129175,0,0
CUST00114,0.002602472062693,0,0
CUST00115,0.9680040994907644,1,1
CUST00116,0.0366514483231326,0,0
CUST00117,0.0328494403507039,0,0
CUST00118,0.0191415455158511,0,0
CUST00119,0.9020305836803334,1,1
CUST00120,0.0002953564955454,0,0
CUST00121,0.0387850514002188,0,0
CUST00122,0.0994567211578577,0,0
CUST00123,0.0164598699081881,0,0
CUST00124,0.0602522201049129,0,0
CUST00125,0.0465710120987906,0,0
CUST00126,0.9756191079528664,1,1
CUST00127,0.0239022277713539,0,0
CUST00128,0.0233980731782959,0,0
CUST00129,0.0091174858980748,0,0
CUST00130,0.0143189459813328,0,0
CUST00131,0.0130452094043355,0,0
CUST00132,0.0193649956841819,0,0
CUST00133,0.0002953564955454,0,0
CUST00134,0.0008451307887266,0,0
CUST00135,0.9712441406689304,1,1
CUST00136,0.0279221953554404,0,0
CUST00137,0.0428215735583616,0,0
CUST00138,0.0476582481936746,0,0
CUST00139,0.0150428291671053,0,0
CUST00140,0.0230197286680048,0,0
CUST00141,0.0236985187506319,0,0
CUST00142,0.01,0,0
CUST00143,0.0063676389653274,0,0
CUST00144,0.0142573407853262,0,0
CUST00145,0.0696549487074257,0,0
CUST00146,0.0347108164081477,0,0
CUST00147,0.029535132815857,0,0
CUST00148,0.0029314922895759,0,0
CUST00149,0.0403370270059143,0,0
CUST00150,0.0178561731288133,0,0
CUST00151,0.0360555304185961,0,0
CUST00152,0.9451802412978196,1,1
CUST00153,0.0320206246922418,0,0
CUST00154,0.0078561731288133,0,0
CUST00155,0.0020927776544703,0,0
CUST00156,0.0346230644389738,0,0
CUST00157,0.0132426061792712,0,0
